,MEETING_ID,BEGIN_HOUR,END_HOUR,MEETING_TITLE,MEETING_LOCATION,ROUNDED_BEGIN_HOUR,ROUNDED_END_HOUR,MEETING_DATE,MEETING_DURATION,DIMENSION_0,DIMENSION_1
0,1,2019-01-01 15:00:00,2019-01-01 18:00:00,Solenidade de Posse,Palácio do Planalto,15,18,2019-01-01,3.0,-0.12027167814863571,0.02081595991100655
1,2,2019-01-02 09:00:00,2019-01-02 10:00:00,"Cerimônia de transmissão do cargo de Ministro-Chefe da Casa Civil da Presidência da República, do Senhor Eliseu Padilha ao Senhor Onyx Lorenzoni; do cargo de Ministro da Secretaria-Geral da Presidência, do Senhor Ronaldo Fonseca ao Senhor Gustavo Bebianno; do cargo de Ministro da Secretaria de Governo, do Senhor Carlos Marun ao Senhor General Carlos Alberto; do cargo de Ministro da Segurança Institucional, do Senhor Sergio Etchegoyen ao Senhor General Augusto Heleno",Palácio do Planalto,9,10,2019-01-02,1.0,-0.021851684226036266,-0.025536727471315926
2,3,2019-01-02 10:00:00,2019-01-02 10:45:00,"Mike Pompeo, Ministro das Relações Exteriores dos EUA",Palácio do Planalto,10,11,2019-01-02,0.75,-0.1120200819383035,0.014818127130470446
3,4,2019-01-02 10:45:00,2019-01-02 11:15:00,"Marcelo Rebelo de Sousa, Presidente de Portugal",Palácio do Planalto,11,11,2019-01-02,0.5,-0.11599083051249097,0.02214610991436094
4,5,2019-01-02 11:15:00,2019-01-02 12:00:00,"Viktor Orban, Primeiro Ministro da Hungria",Palácio do Planalto,11,12,2019-01-02,0.75,-0.10641129905980774,0.016198717761941074
5,6,2019-01-02 12:00:00,2019-01-02 12:15:00,"Ji Bingxuan, Vice-Presidente do Parlamento Chinês",Palácio do Planalto,12,12,2019-01-02,0.25,-0.11648069092021032,0.018331927432836386
6,7,2019-01-02 16:00:00,2019-01-02 17:00:00,"Cerimônia de transmissão do cargo de Ministro da Defesa, do Senhor Joaquim Silva e Luna ao Senhor General Fernando Azevedo",Brasília/DF,16,17,2019-01-02,1.0,-0.11307329959424807,0.011408318382189002
7,8,2019-01-03 08:00:00,2019-01-03 08:30:00,"Mauro Biancamano, Secretário-Executivo da Secretaria de Governo da Presidência da República",Palácio do Planalto,8,9,2019-01-03,0.5,0.0068288698448010525,-0.023765529982206785
8,9,2019-01-03 08:30:00,2019-01-03 09:00:00,"Francisco Fontenelle, Ministro-Conselheiro",Palácio do Planalto,9,9,2019-01-03,0.5,-0.10099165814000108,0.01890754579679148
9,10,2019-01-03 09:00:00,2019-01-03 10:30:00,Reunião do Conselho de Governo,Palácio do Planalto,9,11,2019-01-03,1.5,-0.11597459723606773,0.008736715510486501
10,11,2019-01-03 14:00:00,2019-01-03 14:30:00,Senador Eleito Flávio Bolsonaro (PSL/RJ),Palácio do Planalto,14,15,2019-01-03,0.5,-0.12146888110105693,0.018832780520097656
