,DATA,DIA_DA_SEMANA,FERIADO,MES_REFERENCIA,SEMANA_DO_ANO,MES,ANO,FINAL_DE_SEMANA,DIA_DE_SEMANA,DIA_UTIL,MEETING_DATE,MEETING_DURATION
0,1/1/2019,Terça-feira,1,2019-01-01,1,1,2019,0,1,0,2019-01-01,3.0
1,2/1/2019,Quarta-feira,0,2019-01-01,1,1,2019,0,1,1,2019-01-02,4.25
2,3/1/2019,Quinta-feira,0,2019-01-01,1,1,2019,0,1,1,2019-01-03,6.166666666666666
3,4/1/2019,Sexta-feira,0,2019-01-01,1,1,2019,0,1,1,2019-01-04,5.0
4,5/1/2019,Sábado,0,2019-01-01,1,1,2019,1,0,0,2019-01-05,
5,6/1/2019,Domingo,0,2019-01-01,2,1,2019,1,0,0,2019-01-06,
6,7/1/2019,Segunda-feira,0,2019-01-01,2,1,2019,0,1,1,2019-01-07,7.166666666666667
7,8/1/2019,Terça-feira,0,2019-01-01,2,1,2019,0,1,1,2019-01-08,6.5
8,9/1/2019,Quarta-feira,0,2019-01-01,2,1,2019,0,1,1,2019-01-09,6.0
9,10/1/2019,Quinta-feira,0,2019-01-01,2,1,2019,0,1,1,2019-01-10,5.75
10,11/1/2019,Sexta-feira,0,2019-01-01,2,1,2019,0,1,1,2019-01-11,5.0
11,12/1/2019,Sábado,0,2019-01-01,2,1,2019,1,0,0,2019-01-12,
12,13/1/2019,Domingo,0,2019-01-01,3,1,2019,1,0,0,2019-01-13,0.3333333333333333
13,14/1/2019,Segunda-feira,0,2019-01-01,3,1,2019,0,1,1,2019-01-14,5.25
14,15/1/2019,Terça-feira,0,2019-01-01,3,1,2019,0,1,1,2019-01-15,6.166666666666667
15,16/1/2019,Quarta-feira,0,2019-01-01,3,1,2019,0,1,1,2019-01-16,5.666666666666666
16,17/1/2019,Quinta-feira,0,2019-01-01,3,1,2019,0,1,1,2019-01-17,4.583333333333333
17,18/1/2019,Sexta-feira,0,2019-01-01,3,1,2019,0,1,1,2019-01-18,7.583333333333334
18,19/1/2019,Sábado,0,2019-01-01,3,1,2019,1,0,0,2019-01-19,
19,20/1/2019,Domingo,0,2019-01-01,4,1,2019,1,0,0,2019-01-20,1.0
20,21/1/2019,Segunda-feira,0,2019-01-01,4,1,2019,0,1,1,2019-01-21,7.166666666666667
21,22/1/2019,Terça-feira,0,2019-01-01,4,1,2019,0,1,1,2019-01-22,3.5
22,23/1/2019,Quarta-feira,0,2019-01-01,4,1,2019,0,1,1,2019-01-23,5.416666666666666
23,24/1/2019,Quinta-feira,0,2019-01-01,4,1,2019,0,1,1,2019-01-24,5.916666666666666
24,25/1/2019,Sexta-feira,0,2019-01-01,4,1,2019,0,1,1,2019-01-25,3.833333333333333
25,26/1/2019,Sábado,0,2019-01-01,4,1,2019,1,0,0,2019-01-26,1.4166666666666665
26,27/1/2019,Domingo,0,2019-01-01,5,1,2019,1,0,0,2019-01-27,
27,28/1/2019,Segunda-feira,0,2019-01-01,5,1,2019,0,1,1,2019-01-28,
28,29/1/2019,Terça-feira,0,2019-01-01,5,1,2019,0,1,1,2019-01-29,
29,30/1/2019,Quarta-feira,0,2019-01-01,5,1,2019,0,1,1,2019-01-30,
30,31/1/2019,Quinta-feira,0,2019-01-01,5,1,2019,0,1,1,2019-01-31,1.0
31,1/2/2019,Sexta-feira,0,2019-02-01,5,2,2019,0,1,1,2019-02-01,0.25
32,2/2/2019,Sábado,0,2019-02-01,5,2,2019,1,0,0,2019-02-02,
33,3/2/2019,Domingo,0,2019-02-01,6,2,2019,1,0,0,2019-02-03,
34,4/2/2019,Segunda-feira,0,2019-02-01,6,2,2019,0,1,1,2019-02-04,
35,5/2/2019,Terça-feira,0,2019-02-01,6,2,2019,0,1,1,2019-02-05,
36,6/2/2019,Quarta-feira,0,2019-02-01,6,2,2019,0,1,1,2019-02-06,
37,7/2/2019,Quinta-feira,0,2019-02-01,6,2,2019,0,1,1,2019-02-07,
38,8/2/2019,Sexta-feira,0,2019-02-01,6,2,2019,0,1,1,2019-02-08,1.0
39,9/2/2019,Sábado,0,2019-02-01,6,2,2019,1,0,0,2019-02-09,0.5
40,10/2/2019,Domingo,0,2019-02-01,7,2,2019,1,0,0,2019-02-10,
41,11/2/2019,Segunda-feira,0,2019-02-01,7,2,2019,0,1,1,2019-02-11,4.0
42,12/2/2019,Terça-feira,0,2019-02-01,7,2,2019,0,1,1,2019-02-12,
43,13/2/2019,Quarta-feira,0,2019-02-01,7,2,2019,0,1,1,2019-02-13,2.75
44,14/2/2019,Quinta-feira,0,2019-02-01,7,2,2019,0,1,1,2019-02-14,7.333333333333334
45,15/2/2019,Sexta-feira,0,2019-02-01,7,2,2019,0,1,1,2019-02-15,4.666666666666666
46,16/2/2019,Sábado,0,2019-02-01,7,2,2019,1,0,0,2019-02-16,3.1666666666666665
47,17/2/2019,Domingo,0,2019-02-01,8,2,2019,1,0,0,2019-02-17,
48,18/2/2019,Segunda-feira,0,2019-02-01,8,2,2019,0,1,1,2019-02-18,6.916666666666666
49,19/2/2019,Terça-feira,0,2019-02-01,8,2,2019,0,1,1,2019-02-19,7.833333333333334
50,20/2/2019,Quarta-feira,0,2019-02-01,8,2,2019,0,1,1,2019-02-20,7.583333333333333
51,21/2/2019,Quinta-feira,0,2019-02-01,8,2,2019,0,1,1,2019-02-21,4.75
52,22/2/2019,Sexta-feira,0,2019-02-01,8,2,2019,0,1,1,2019-02-22,5.449999999999999
53,23/2/2019,Sábado,0,2019-02-01,8,2,2019,1,0,0,2019-02-23,
54,24/2/2019,Domingo,0,2019-02-01,9,2,2019,1,0,0,2019-02-24,
55,25/2/2019,Segunda-feira,0,2019-02-01,9,2,2019,0,1,1,2019-02-25,7.083333333333335
56,26/2/2019,Terça-feira,0,2019-02-01,9,2,2019,0,1,1,2019-02-26,3.25
57,27/2/2019,Quarta-feira,0,2019-02-01,9,2,2019,0,1,1,2019-02-27,2.0
58,28/2/2019,Quinta-feira,0,2019-02-01,9,2,2019,0,1,1,2019-02-28,6.0
59,1/3/2019,Sexta-feira,0,2019-03-01,9,3,2019,0,1,1,2019-03-01,4.333333333333333
60,2/3/2019,Sábado,0,2019-03-01,9,3,2019,1,0,0,2019-03-02,
61,3/3/2019,Domingo,0,2019-03-01,10,3,2019,1,0,0,2019-03-03,
62,4/3/2019,Segunda-feira,0,2019-03-01,10,3,2019,0,1,1,2019-03-04,
63,5/3/2019,Terça-feira,0,2019-03-01,10,3,2019,0,1,1,2019-03-05,
64,6/3/2019,Quarta-feira,0,2019-03-01,10,3,2019,0,1,1,2019-03-06,1.45
65,7/3/2019,Quinta-feira,0,2019-03-01,10,3,2019,0,1,1,2019-03-07,6.583333333333333
66,8/3/2019,Sexta-feira,0,2019-03-01,10,3,2019,0,1,1,2019-03-08,6.416666666666667
67,9/3/2019,Sábado,0,2019-03-01,10,3,2019,1,0,0,2019-03-09,1.6666666666666665
68,10/3/2019,Domingo,0,2019-03-01,11,3,2019,1,0,0,2019-03-10,1.6666666666666665
69,11/3/2019,Segunda-feira,0,2019-03-01,11,3,2019,0,1,1,2019-03-11,5.5
70,12/3/2019,Terça-feira,0,2019-03-01,11,3,2019,0,1,1,2019-03-12,8.583333333333334
71,13/3/2019,Quarta-feira,0,2019-03-01,11,3,2019,0,1,1,2019-03-13,7.233333333333333
72,14/3/2019,Quinta-feira,0,2019-03-01,11,3,2019,0,1,1,2019-03-14,6.0
73,15/3/2019,Sexta-feira,0,2019-03-01,11,3,2019,0,1,1,2019-03-15,8.0
74,16/3/2019,Sábado,0,2019-03-01,11,3,2019,1,0,0,2019-03-16,0.5
75,17/3/2019,Domingo,0,2019-03-01,12,3,2019,1,0,0,2019-03-17,8.0
76,18/3/2019,Segunda-feira,0,2019-03-01,12,3,2019,0,1,1,2019-03-18,2.0833333333333335
77,19/3/2019,Terça-feira,0,2019-03-01,12,3,2019,0,1,1,2019-03-19,6.999999999999999
78,20/3/2019,Quarta-feira,0,2019-03-01,12,3,2019,0,1,1,2019-03-20,3.25
79,21/3/2019,Quinta-feira,0,2019-03-01,12,3,2019,0,1,1,2019-03-21,5.666666666666667
80,22/3/2019,Sexta-feira,0,2019-03-01,12,3,2019,0,1,1,2019-03-22,3.833333333333333
81,23/3/2019,Sábado,0,2019-03-01,12,3,2019,1,0,0,2019-03-23,7.833333333333334
82,24/3/2019,Domingo,0,2019-03-01,13,3,2019,1,0,0,2019-03-24,1.5
83,25/3/2019,Segunda-feira,0,2019-03-01,13,3,2019,0,1,1,2019-03-25,4.416666666666667
84,26/3/2019,Terça-feira,0,2019-03-01,13,3,2019,0,1,1,2019-03-26,3.75
85,27/3/2019,Quarta-feira,0,2019-03-01,13,3,2019,0,1,1,2019-03-27,5.7
86,28/3/2019,Quinta-feira,0,2019-03-01,13,3,2019,0,1,1,2019-03-28,7.833333333333333
87,29/3/2019,Sexta-feira,0,2019-03-01,13,3,2019,0,1,1,2019-03-29,3.916666666666667
88,30/3/2019,Sábado,0,2019-03-01,13,3,2019,1,0,0,2019-03-30,10.333333333333334
89,31/3/2019,Domingo,0,2019-03-01,14,3,2019,1,0,0,2019-03-31,5.333333333333334
90,1/4/2019,Segunda-feira,0,2019-04-01,14,4,2019,0,1,1,2019-04-01,1.6666666666666667
91,2/4/2019,Terça-feira,0,2019-04-01,14,4,2019,0,1,1,2019-04-02,4.666666666666667
92,3/4/2019,Quarta-feira,0,2019-04-01,14,4,2019,0,1,1,2019-04-03,11.75
93,4/4/2019,Quinta-feira,0,2019-04-01,14,4,2019,0,1,1,2019-04-04,8.833333333333334
94,5/4/2019,Sexta-feira,0,2019-04-01,14,4,2019,0,1,1,2019-04-05,4.666666666666667
95,6/4/2019,Sábado,0,2019-04-01,14,4,2019,1,0,0,2019-04-06,3.0
96,7/4/2019,Domingo,0,2019-04-01,15,4,2019,1,0,0,2019-04-07,
97,8/4/2019,Segunda-feira,0,2019-04-01,15,4,2019,0,1,1,2019-04-08,5.666666666666667
98,9/4/2019,Terça-feira,0,2019-04-01,15,4,2019,0,1,1,2019-04-09,6.883333333333334
99,10/4/2019,Quarta-feira,0,2019-04-01,15,4,2019,0,1,1,2019-04-10,9.25
100,11/4/2019,Quinta-feira,0,2019-04-01,15,4,2019,0,1,1,2019-04-11,7.916666666666668
101,12/4/2019,Sexta-feira,0,2019-04-01,15,4,2019,0,1,1,2019-04-12,8.583333333333334
102,13/4/2019,Sábado,0,2019-04-01,15,4,2019,1,0,0,2019-04-13,0.5
103,14/4/2019,Domingo,0,2019-04-01,16,4,2019,1,0,0,2019-04-14,1.75
104,15/4/2019,Segunda-feira,0,2019-04-01,16,4,2019,0,1,1,2019-04-15,5.0
105,16/4/2019,Terça-feira,0,2019-04-01,16,4,2019,0,1,1,2019-04-16,5.416666666666666
106,17/4/2019,Quarta-feira,0,2019-04-01,16,4,2019,0,1,1,2019-04-17,7.583333333333334
107,18/4/2019,Quinta-feira,0,2019-04-01,16,4,2019,0,1,1,2019-04-18,1.0
108,19/4/2019,Sexta-feira,1,2019-04-01,16,4,2019,0,1,0,2019-04-19,
109,20/4/2019,Sábado,0,2019-04-01,16,4,2019,1,0,0,2019-04-20,
110,21/4/2019,Domingo,1,2019-04-01,17,4,2019,1,0,0,2019-04-21,
111,22/4/2019,Segunda-feira,0,2019-04-01,17,4,2019,0,1,1,2019-04-22,11.5
112,23/4/2019,Terça-feira,0,2019-04-01,17,4,2019,0,1,1,2019-04-23,6.949999999999999
113,24/4/2019,Quarta-feira,0,2019-04-01,17,4,2019,0,1,1,2019-04-24,6.916666666666666
114,25/4/2019,Quinta-feira,0,2019-04-01,17,4,2019,0,1,1,2019-04-25,5.083333333333333
