,MEETING_LOCATION,MEETING_ID
0,(Palácio da Alvorada),1
1,Abu Dhabi/Emirados Árabes Unidos,10
2,Aeroporto 4 de Fevereiro,1
3,Aeroporto Brigadeiro Lysias Rodrigues,1
4,Aeroporto Comandante Gustavo Kraemer/RS,1
5,Aeroporto Edu Chaves,3
6,Aeroporto Glauber Rocha,1
7,Aeroporto Hercílio Luz,1
8,Aeroporto Interestadual de Altamira,1
9,Aeroporto Internacional Afonso Pena,1
10,Aeroporto Internacional Ben Gurion,2
11,Aeroporto Internacional Dallas-Fort Worth,1
12,Aeroporto Internacional Hercílio Luz,1
13,Aeroporto Internacional Nursultan Nazarbayev,1
14,Aeroporto Internacional Serra da Capivara,1
15,Aeroporto Internacional Tancredo Neves,1
16,Aeroporto Internacional Tolmachevo,1
17,Aeroporto Internacional de Abu Dhabi,1
18,Aeroporto Internacional de Florianópolis - Hercílio Luz,2
19,Aeroporto Internacional de Fortaleza,1
20,"Aeroporto Internacional de Foz do Iguaçu, Cataratas",1
21,Aeroporto Internacional de Foz do Iguaçu/Cataratas,2
22,Aeroporto Internacional de Gran Canária,2
23,Aeroporto Internacional de Hamad/Doha,1
24,Aeroporto Internacional de Haneda,1
25,Aeroporto Internacional de Indira Gandhi,1
26,Aeroporto Internacional de Jacksonville,1
27,Aeroporto Internacional de Macapá – Alberto Alcolumbre,1
28,Aeroporto Internacional de Miami,1
29,Aeroporto Internacional de Navegantes - Ministro Victor Konder,2
30,Aeroporto Internacional de Pequim,1
31,Aeroporto Internacional de Porto Seguro,2
32,Aeroporto Internacional de Rio Branco,1
33,Aeroporto Internacional de Santiago,1
34,Aeroporto Jomo Kenyatta,2
35,Aeroporto Leite Lopes,1
36,Aeroporto Municipal Akin Diniz,1
37,Aeroporto Municipal Chafei Amsei,1
38,Aeroporto Municipal Coronel Adalberto Mendes da Silva,1
39,Aeroporto Municipal Presidente João Batista Figueiredo,1
40,Aeroporto Municipal de Cascavel – Coronel Adalberto Mendes da Silva,1
41,Aeroporto Orlando Bezerra de Menezes,2
42,Aeroporto Prefeito Dr. João Silva Filho,1
43,Aeroporto Regional do Vale do Aço,1
44,Aeroporto Salgado Filho,4
45,Aeroporto Santa Maria,1
46,Aeroporto Santos Dumont,11
47,Aeroporto Senador Nilo Coelho,1
48,Aeroporto Serafim Enoss Bertaso,1
49,Aeroporto Viracopos,1
50,Aeroporto da Pampulha,1
51,Aeroporto de Barra do Garças,1
52,Aeroporto de Caldas Novas,1
53,"Aeroporto de Campina Grande, Presidente João Suassuna",1
54,Aeroporto de Congonhas,15
55,Aeroporto de Congonhas/SP,1
56,Aeroporto de Foz do Iguaçu,1
57,Aeroporto de Gran Canária,3
58,Aeroporto de Haneda,1
59,Aeroporto de Lisboa,1
60,Aeroporto de Mossoró,1
61,Aeroporto de Nursultan Nazarbayev,1
62,Aeroporto de Viracopos,1
63,Aeroporto do Centro de Lançamento de Alcântara,1
64,Aeroporto do Galeão,1
65,Agra/Índia,1
66,Ala 1 - Base Aérea de Brasília,1
67,Alcântara/MA,1
68,Altamira/PA,2
69,Anápolis/GO,5
70,Aparecida/SP,4
71,Aracaju/SE,1
72,Aragarças/GO,1
73,Bagé/RS,3
74,Barra do Garças//MT,1
75,Barra do Ribeiro/RS,2
76,Barretos/SP,3
77,Base Aérea Campo dos Afonsos,2
78,Base Aérea Militar Aeroparque,1
79,Base Aérea de Agra,1
80,Base Aérea de Anápolis,1
81,Base Aérea de Belém,1
82,Base Aérea de Boa Vista,1
83,Base Aérea de Brasília,111
84,Base Aérea de Brasília/DF,5
85,Base Aérea de Manaus,2
86,"Base Aérea de Nova Delhi, Palam",1
87,Base Aérea de Salvador,1
88,Base Aérea do Galeão,2
89,Base Aérea dos Afonsos,2
90,Base área de Brasília,1
91,Belo Horizonte/MG,4
92,Belém/PA,6
93,Bento Gonçalves/RS,10
94,Brasília,1
95,Brasília/DF,153
96,Breves/PA,2
97,Brumadinho/MG,1
98,Buenos Aires/Argentina,9
99,CINDACTA III,1
100,Caldas Novas/GO,1
101,Camboriú/SC,1
102,Campina Grande/Paraíba,1
103,Campinas/SP,3
104,Campo Alegre de Lourdes/BA,1
105,Cascavel/PR,1
106,Cidade Estrutural/DF,1
107,Coremas/PB,2
108,Coribe/BA,2
109,Corumbá/MS,1
110,Curitiba/PR,2
111,Dallas/EUA,4
112,Davos/Suíça,14
113,Doha/Catar,7
114,"Doral, FL/EUA",3
115,Eldorado/SP,2
116,Flores de Goiás/GO,2
117,Florianópolis/SC,8
118,Fortaleza/CE,1
119,Foz do Iguaçu/PR,8
120,Goiânia/GO,10
121,Guaratinguetá/SP,3
122,Guariba/SP,2
123,Guarujá/SP,1
124,Hollywood International Airport,1
125,Imperatriz/MA,2
126,Ipanguaçu/RN,2
127,Ipatinga/MG,3
128,Iperó/SP,2
129,Itaguaí/RJ,4
130,Itapira/SP,1
131,Jacinto/MG,2
132,"Jacksonville, FL/EUA",3
133,Jerusalém/Israel,16
134,Macapá/AP,4
135,Manaus/AM,5
136,Manaus/Amazonas,2
137,"Miami, FL/EUA",5
138,Minas Gerais,1
139,Montevidéu/Uruguai,5
140,Mossoró/RN,1
141,Nioaque/MS,2
142,Nova Delhi/Índia,20
143,Nova Iorque/EUA,3
144,Osaka/Japão,24
145,"Palm Beach, FL",1
146,Palmas/TO,1
147,Palácio Itamaraty,11
148,Palácio da Alvorada,379
149,Palácio do Alvorada,1
150,Palácio do Itamaraty,2
151,Palácio do Jaburu,1
152,Palácio do Planalto,2720
153,Pariquera-Açu/SP,2
154,Parnaíba/PI,2
155,Pelotas/RS,1
156,Pequim/China,10
157,Petrolina/PE,1
158,"Piau, Piranhas/AL",2
159,Piauí/PI,2
