,ROUNDED_BEGIN_HOUR,MEETING_DATE_x,DAY_HOUR,ROUNDED_END_HOUR,MEETING_DATE_y
0,0.0,4.0,0,0.0,0.0
1,1.0,4.0,1,0.0,0.0
2,2.0,1.0,2,0.0,0.0
3,4.0,1.0,4,0.0,0.0
4,5.0,1.0,5,0.0,0.0
5,6.0,4.0,6,0.0,0.0
6,7.0,34.0,7,0.0,0.0
7,8.0,140.0,8,0.0,0.0
8,9.0,210.0,9,9.0,3.0
9,10.0,113.0,10,10.0,9.0
10,11.0,43.0,11,11.0,16.0
11,12.0,11.0,12,12.0,14.0
12,13.0,7.0,13,13.0,15.0
13,14.0,5.0,14,14.0,14.0
14,15.0,9.0,15,15.0,16.0
15,16.0,5.0,16,16.0,38.0
16,17.0,2.0,17,17.0,92.0
17,18.0,2.0,18,18.0,137.0
18,19.0,2.0,19,19.0,102.0
19,0.0,0.0,20,20.0,72.0
20,0.0,0.0,21,21.0,33.0
21,0.0,0.0,22,22.0,24.0
22,0.0,0.0,23,23.0,13.0
