,MES_REFERENCIA,DIA_UTIL,HORAS_DE_TRABALHO
0,2019-01-01,22,176
1,2019-02-01,20,160
2,2019-03-01,21,168
3,2019-04-01,21,168
4,2019-05-01,22,176
5,2019-06-01,20,160
6,2019-07-01,23,184
7,2019-08-01,22,176
8,2019-09-01,21,168
9,2019-10-01,23,184
10,2019-11-01,20,160
11,2019-12-01,21,168
12,2020-01-01,22,176
13,2020-02-01,20,160
14,2020-03-01,22,176
15,2020-04-01,20,160
16,2020-05-01,20,160
17,2020-06-01,22,176
18,2020-07-01,23,184
19,2020-08-01,21,168
20,2020-09-01,21,168
21,2020-10-01,21,168
22,2020-11-01,20,160
23,2020-12-01,22,176
24,2021-01-01,20,160
25,2021-02-01,20,160
